,TAG_NUMBER,catchAREA,DATE,BOAT,GearType,Company,Catch.t,dataorigin,id
32,455143,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
33,455147,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
34,455260,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
35,455308,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
36,455322,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
37,455336,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
38,455352,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
39,455358,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
40,455361,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
41,455365,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
42,455390,Scots Bay,2019-07-22,Leroy & Barry II,Purse Seine,Seacrest,NA,rawReturn.csv,2019-07-22 Leroy & Barry II
43,455392,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
44,455493,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
45,455499,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
46,455500,Scots Bay,2019-07-22,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2019-07-22 Lady Janice II
47,456509,Scots Bay,2019-09-16,Morning Star,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2019-09-16 Morning Star
48,457012,German Bank,2017-08-16,Leroy & Barry II,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2017-08-16 Leroy & Barry II
49,457449,German Bank,2017-07-26,Lady Melissa,Purse Seine,Sealife,NA,rawReturn.csv,2017-07-26 Lady Melissa
50,457550,German Bank,2017-07-26,Lady Janice II,Purse Seine,Sealife,NA,rawReturn.csv,2017-07-26 Lady Janice II
51,457761,German Bank,2017-07-27,Canada 100,Purse Seine,Connors ,NA,rawReturn.csv,2017-07-27 Canada 100
52,458295,German Bank,2017-07-27,Lady Melissa,Purse Seine,Comeau Sea Foods,NA,rawReturn.csv,2017-07-27 Lady Melissa
53,458336,German Bank,2017-07-27,Lady Melissa,Purse Seine,Comeau Sea Foods,NA,rawReturn.csv,2017-07-27 Lady Melissa
54,458887,German Bank,2017-08-21,Canada 100,Purse Seine,Connors ,NA,rawReturn.csv,2017-08-21 Canada 100
55,459268,Scots Bay,2019-08-20,Lady Melissa,Purse Seine,Sealife,NA,rawReturn.csv,2019-08-20 Lady Melissa
56,459479,Scots Bay,2019-08-06,Lady Melissa,Purse Seine,Comeau Sea Foods,NA,rawReturn.csv,2019-08-06 Lady Melissa
57,460131,Scots Bay,2019-09-03,Morning Star,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2019-09-03 Morning Star
58,460132,German Bank,2019-10-01,Lady Melissa,Purse Seine,Sealife,NA,rawReturn.csv,2019-10-01 Lady Melissa
59,461321,Scots Bay,2018-09-04,Morning Star,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2018-09-04 Morning Star
60,461337,Scots Bay,2018-09-04,Morning Star,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2018-09-04 Morning Star
61,461768,Seal Island,2018-09-13,Morning Star,Purse Seine,Scotia Gardens,NA,rawReturn.csv,2018-09-13 Morning Star
62,462600,Scots Bay (Area 8),2021-08-18,Sealife II,Purse Seine,Comeau - Sea Life,16,ComeauReturns2021.csv,2021-08-18 Sealife II
63,462648,Scots Bay (Area 8),2021-08-03,Lady Janice II/Sealife II,Purse Seine,Comeau - Sea Life,88,ComeauReturns2021.csv,2021-08-03 Lady Janice II/Sealife II
64,463346,Scots Bay (Area 8),2021-08-19,Lady Melissa,Purse Seine,Comeau - Sea Life,79,ComeauReturns2021.csv,2021-08-19 Lady Melissa
65,463463,Scots Bay (Area 8),2021-08-19,Lady Janice II/Sealife II,Purse Seine,Comeau - Sea Life,134,ComeauReturns2021.csv,2021-08-19 Lady Janice II/Sealife II
66,465926,Casper,2020-07-07,Morning Star,Purse Seine,Scotia Garden,101,ScotiaGardenReturns2020.csv,2020-07-07 Morning Star
67,467016,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
68,467021,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
69,467273,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
70,467344,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
71,467356,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
72,467423,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
73,467545,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
74,467673,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
75,469727,Scots Bay (Area 8),2021-07-20,Lady Janice II,Purse Seine,Comeau - Sea Life,142,ComeauReturns2021.csv,2021-07-20 Lady Janice II
76,469743,Scots Bay (Area 8),2021-07-19,Sealife II,Purse Seine,Comeau - Sea Life,110,ComeauReturns2021.csv,2021-07-19 Sealife II
77,469867,Scots Bay (Area 8),2021-07-21,Sealife II,Purse Seine,Comeau - Sea Life,43,ComeauReturns2021.csv,2021-07-21 Sealife II
78,470090,Scots Bay,2022-07-29,Leroy & Barry II,Purse Seine,Scotia Garden,99,ScotiaGardenReturns2022.csv,2022-07-29 Leroy & Barry II
79,473378,Seal Island,2022-09-21,Morning Star,Purse Seine,Scotia Garden,106,ScotiaGardenReturns2022.csv,2022-09-21 Morning Star
80,475008,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
81,475060,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
82,475083,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
83,475464,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
84,480874,Scots Bay,2020-08-25,Leroy & Barry II,Purse Seine,Scotia Garden,72,ScotiaGardenReturns2020.csv,2020-08-25 Leroy & Barry II
85,481072,German Bank (Area 7),2021-09-09,Lady Melissa,Purse Seine,Comeau - Sea Life,104,ComeauReturns2021.csv,2021-09-09 Lady Melissa
86,481556,German Bank,2020-09-16,Morning Star,Purse Seine,Scotia Garden,60,ScotiaGardenReturns2020.csv,2020-09-16 Morning Star
87,481720,Seal Island,2020-09-25,Morning Star,Purse Seine,Scotia Garden,83,ScotiaGardenReturns2020.csv,2020-09-25 Morning Star
88,481753,German Bank (Area 7),2021-10-26,Lady Janice II,Purse Seine,Comeau - Sea Life,71,ComeauReturns2021.csv,2021-10-26 Lady Janice II
89,481979,German Bank (Area 7),2021-10-05,Sealife II,Purse Seine,Comeau - Sea Life,139,ComeauReturns2021.csv,2021-10-05 Sealife II
90,482669,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
91,482882,German Bank,2020-10-05,Leroy & Barry II,Purse Seine,Scotia Garden,64,ScotiaGardenReturns2020.csv,2020-10-05 Leroy & Barry II
92,486889,Scots Bay (Area 8),2021-08-03,Lady Melissa,Purse Seine,Comeau - Sea Life,55,ComeauReturns2021.csv,2021-08-03 Lady Melissa
93,486911,Scots Bay (Area 8),2021-08-03,Lady Melissa,Purse Seine,Comeau - Sea Life,55,ComeauReturns2021.csv,2021-08-03 Lady Melissa
94,491360,German Bank,2022-09-14,Leroy & Barry II,Purse Seine,Scotia Garden,115,ScotiaGardenReturns2022.csv,2022-09-14 Leroy & Barry II
95,491420,German Bank,2022-09-14,Leroy & Barry II,Purse Seine,Scotia Garden,115,ScotiaGardenReturns2022.csv,2022-09-14 Leroy & Barry II
96,493022,German Bank (Area 7),2021-10-22,Lady Janice II,Purse Seine,Comeau - Sea Life,74,ComeauReturns2021.csv,2021-10-22 Lady Janice II
97,493151,German Bank (Area 7),2021-10-26,Lady Janice II,Purse Seine,Comeau - Sea Life,71,ComeauReturns2021.csv,2021-10-26 Lady Janice II
98,494330,Scots Bay (Area 8),2021-08-19,Lady Melissa,Purse Seine,Comeau - Sea Life,79,ComeauReturns2021.csv,2021-08-19 Lady Melissa
99,494355,Scots Bay (Area 8),2021-08-19,Sealife II,Purse Seine,Comeau - Sea Life,87,ComeauReturns2021.csv,2021-08-19 Sealife II
100,494392,Scots Bay (Area 8),2021-08-19,Lady Janice II/Sealife II,Purse Seine,Comeau - Sea Life,134,ComeauReturns2021.csv,2021-08-19 Lady Janice II/Sealife II
101,494405,Scots Bay (Area 8),2021-08-19,Sealife II,Purse Seine,Comeau - Sea Life,87,ComeauReturns2021.csv,2021-08-19 Sealife II
102,494476,Scots Bay (Area 8),2021-08-19,Lady Melissa,Purse Seine,Comeau - Sea Life,79,ComeauReturns2021.csv,2021-08-19 Lady Melissa
103,495455,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
104,495458,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
105,495462,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
106,495471,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
107,495479,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
108,495488,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
109,495489,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
110,495498,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
111,495506,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
112,495517,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
113,495553,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
114,495555,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
115,495565,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
116,495566,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
117,495600,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
118,495666,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
119,495848,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
120,495903,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
121,495917,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
122,495962,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
123,495990,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
124,495993,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
125,498282,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
126,498300,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
127,498371,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
128,498466,Seal Island,2022-09-21,Morning Star,Purse Seine,Scotia Garden,106,ScotiaGardenReturns2022.csv,2022-09-21 Morning Star
129,498624,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
130,499156,Scots Bay,2022-07-28,Leroy & Barry II,Purse Seine,Scotia Garden,55,ScotiaGardenReturns2022.csv,2022-07-28 Leroy & Barry II
131,499203,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
132,499884,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
133,499954,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
134,500041,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
135,500047,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
136,500052,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
137,500063,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
138,500073,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
139,500103,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
140,500131,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
141,500195,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
142,500225,Scots Bay,2022-08-17,Leroy & Barry II,Purse Seine,Scotia Garden,115,ScotiaGardenReturns2022.csv,2022-08-17 Leroy & Barry II
143,500256,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
144,500296,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
145,500330,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
146,502308,German Bank,2022-08-30,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-30 Morning Star
147,502309,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
148,502337,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
149,502361,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
150,502380,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
151,502496,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
152,502653,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
153,502723,German Bank,2022-08-30,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-30 Morning Star
154,502724,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
155,502769,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
156,502796,German Bank,2022-08-30,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-30 Morning Star
157,502797,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
158,502903,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
159,502933,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
160,502976,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
161,502992,German Bank,2022-09-01,Morning Star,Purse Seine,Scotia Garden,78,ScotiaGardenReturns2022.csv,2022-09-01 Morning Star
162,506113,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
163,506117,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
164,506137,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
165,506201,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
166,506209,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
167,506229,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
168,506243,Scots Bay,2022-08-09,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-09 Morning Star
169,510529,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
170,510587,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
171,510638,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
172,514221,German Bank (Area 7),2021-10-06,Lady Janice II/Lady Melissa,Purse Seine,Comeau - Sea Life,273,ComeauReturns2021.csv,2021-10-06 Lady Janice II/Lady Melissa
173,515196,Scots Bay (Area 8),2021-07-19,Lady Janice II,Purse Seine,Comeau - Sea Life,154,ComeauReturns2021.csv,2021-07-19 Lady Janice II
174,515504,Scots Bay (Area 8),2021-07-20,Lady Melissa,Purse Seine,Comeau - Sea Life,72,ComeauReturns2021.csv,2021-07-20 Lady Melissa
175,516733,German Bank (Area 7),2021-10-22,Lady Janice II,Purse Seine,Comeau - Sea Life,74,ComeauReturns2021.csv,2021-10-22 Lady Janice II
176,516784,German Bank (Area 7),2021-10-22,Lady Janice II/Lady Melissa,Purse Seine,Comeau - Sea Life,233,ComeauReturns2021.csv,2021-10-22 Lady Janice II/Lady Melissa
177,518513,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
178,518517,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
179,518626,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
180,518630,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
181,518735,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
182,518748,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
183,518780,Scots Bay,2022-08-10,Leroy & Barry II,Purse Seine,Scotia Garden,98,ScotiaGardenReturns2022.csv,2022-08-10 Leroy & Barry II
184,522460,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
185,522469,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
186,522544,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
187,522665,German Bank,2022-08-26,Morning Star,Purse Seine,Scotia Garden,89,ScotiaGardenReturns2022.csv,2022-08-26 Morning Star
188,522747,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
189,522803,German Bank,2022-09-02,Morning Star,Purse Seine,Scotia Garden,107,ScotiaGardenReturns2022.csv,2022-09-02 Morning Star
190,522877,German Bank,2022-08-30,Morning Star,Purse Seine,Scotia Garden,116,ScotiaGardenReturns2022.csv,2022-08-30 Morning Star
191,522891,German Bank,2022-08-26,Leroy & Barry II,Purse Seine,Scotia Garden,69,ScotiaGardenReturns2022.csv,2022-08-26 Leroy & Barry II
